"Collection Name","Field","Type","DB Constraints","Description","Validation"
"CPSUser","password","types.Password","NOT NULL","The encrypted password structure containing salt, current password hash, password history, and password change timestamp.","None explicitly defined in DTO"
"CPSUser","password_disable","bool","nullable","Boolean flag indicating whether password authentication has been disabled for this CPS user account.","None explicitly defined in DTO"
"CPSUser","sync_disabled","bool","nullable","Boolean flag indicating whether synchronization with external systems has been disabled for this CPS user.","None explicitly defined in DTO"
"CPSUser","login_attempt_count","uint8","nullable","A counter tracking the number of consecutive failed login attempts, used for account security and potential lockout mechanisms.","None explicitly defined in DTO"
"CPSUser","last_login_attempt","time.Time","nullable","Timestamp of the most recent login attempt, whether successful or failed.","None explicitly defined in DTO"
"CPSUser","next_login_attempt","time.Time","nullable","Timestamp indicating when the next login attempt will be allowed after a series of failed attempts.","None explicitly defined in DTO"
"CPSUser","last_online_date","time.Time","nullable","The most recent date when the CPS user was active online in the application, used for activity tracking.","None explicitly defined in DTO"
"CPSUser","last_login","time.Time","nullable","Timestamp of the most recent successful login by the CPS user.","None explicitly defined in DTO"
"CPSUser","login_password","string","nullable","A temporary or legacy password field, typically used during password reset or migration processes.","None explicitly defined in DTO"
"CPSUser","account_authorization_code","string","nullable","An authorization code used for account access or special operations, providing an additional security layer.","None explicitly defined in DTO"
"CPSUser","unlock_account_requested","bool","nullable","Boolean flag indicating whether a request has been made to unlock this CPS user's account after it was locked.","None explicitly defined in DTO"
"CPSUser","password_changed_at","*time.Time","nullable","Timestamp indicating when the CPS user's password was last changed, used for password expiration and security policy enforcement.","None explicitly defined in DTO"
"CPSUser","otp_status","string","nullable","The current status of OTP verification for this CPS user, such as PENDING, VERIFIED, or EXPIRED.","None explicitly defined in DTO"
"CPSUser","otp_last_tried_at","*time.Time","nullable","Timestamp of the most recent OTP verification attempt, whether successful or failed.","None explicitly defined in DTO"
"CPSUser","otp_last_verified_at","*time.Time","nullable","Timestamp of the most recent successful OTP verification.","None explicitly defined in DTO"
"CPSUser","otp_verify_count","int","nullable","A counter tracking the number of OTP verification attempts, used for rate limiting and security policy enforcement.","None explicitly defined in DTO"
"CPSUser","is_first_time_login","bool","NOT NULL","Boolean flag indicating whether this is the CPS user's first login, used for onboarding workflow tracking.","None explicitly defined in DTO"
"CPSUser","enabled","bool","NOT NULL","Boolean flag indicating whether the CPS user account is currently enabled and active in the system.","None explicitly defined in DTO"
"CPSUser","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this CPS user record has been marked for deletion.","None explicitly defined in DTO"
"CPSUser","date_joined","*time.Time","nullable","Timestamp indicating when the CPS user joined or was registered in the system.","None explicitly defined in DTO"
"CPSUser","last_modified","*time.Time","nullable","Timestamp indicating the most recent modification to this CPS user record.","None explicitly defined in DTO"
"CPSUser","country","string","nullable","The country where the CPS user is located, typically represented as a two-letter ISO country code or full country name.","None explicitly defined in DTO"
"CPSUser","region","string","nullable","The region or state where the CPS user is located, providing geographical context for organizational hierarchy.","None explicitly defined in DTO"
"CustomerKYC","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each CustomerKYC record.","None explicitly defined in DTO"
"CustomerKYC","user_id","string","NOT NULL, FK to User.id","Foreign key reference to the User record for whom this KYC verification is being performed, establishing the relationship between users and their KYC data.","None explicitly defined in DTO"
"CustomerKYC","kyc_data","types.KYCData","NOT NULL","A comprehensive structure containing all KYC verification data including personal information, identification documents, address, and vendor information.","None explicitly defined in DTO"
"CustomerKYC","kyc_reject_reason_failed","map[string]struct{}","NOT NULL","A map structure containing field-level rejection reasons for KYC verification failures, providing detailed feedback on which specific fields failed validation.","None explicitly defined in DTO"
"CustomerKYC","kyc_status","constants.KYCStatus","NOT NULL","An enumeration indicating the current KYC verification status: PENDING, APPROVED, or REJECTED, determining account access levels.","None explicitly defined in DTO"
"CustomerKYC","kyc_reject_reason","string","NOT NULL","A textual description explaining why the KYC verification was rejected, providing actionable feedback for users to address verification issues.","None explicitly defined in DTO"
"CustomerKYC","kyc_approved","bool","NOT NULL","Boolean flag indicating whether the KYC verification process has been successfully completed and approved for this customer.","None explicitly defined in DTO"
"CustomerKYC","kyc_activity_by","any","NOT NULL","The identifier or reference to the user or system that performed the KYC activity, used for audit trail and accountability purposes.","None explicitly defined in DTO"
"CustomerKYC","kyc_level","uint8","NOT NULL","A numeric level indicating the depth of KYC verification completed, with higher levels typically requiring more comprehensive identity documentation.","None explicitly defined in DTO"
"CustomerKYC","enabled","bool","NOT NULL","Boolean flag indicating whether this KYC record is currently enabled and active in the system.","None explicitly defined in DTO"
"CustomerKYC","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this KYC record has been marked for deletion.","None explicitly defined in DTO"
"CustomerKYC","created_at","time.Time","NOT NULL","Timestamp when this KYC record was initially created in the system.","None explicitly defined in DTO"
"CustomerKYC","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this KYC record.","None explicitly defined in DTO"
"CustomerKYC","deleted_at","time.Time","NOT NULL","Timestamp indicating when this KYC record was soft-deleted, providing an audit trail for data lifecycle management.","None explicitly defined in DTO"
"Department","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Department record.","None explicitly defined in DTO"
"Department","department_code","string","NOT NULL","The unique code identifier for the department, used for internal referencing and organizational hierarchy.","None explicitly defined in DTO"
"Department","department","string","NOT NULL","The full name of the department, providing human-readable identification for organizational units.","None explicitly defined in DTO"
"Department","portal_cards","[]string","NOT NULL","An array of portal card identifiers or names associated with this department, defining which portal cards are accessible to department members.","None explicitly defined in DTO"
"Department","enabled","bool","NOT NULL","Boolean flag indicating whether this department is currently enabled and active in the system.","None explicitly defined in DTO"
"Department","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this department record has been marked for deletion.","None explicitly defined in DTO"
"Department","created_at","time.Time","NOT NULL","Timestamp when this department record was initially created in the system.","None explicitly defined in DTO"
"Department","last_modified","time.Time","NOT NULL","Timestamp indicating the most recent modification to this department record.","None explicitly defined in DTO"
"DeviceLinkHistroy","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each DeviceLinkHistroy record.","None explicitly defined in DTO"
"DeviceLinkHistroy","user_id","bson.ObjectID","NOT NULL, FK to User.id","Foreign key reference to the User record who owns this device linkage history, establishing the relationship between users and their device history.","None explicitly defined in DTO"
"DeviceLinkHistroy","device_type","constants.Platform","NOT NULL","An enumeration indicating the mobile platform type: ANDROID or IOS, used for platform-specific device tracking.","None explicitly defined in DTO"
"DeviceLinkHistroy","device_uuid","string","NOT NULL","The unique device identifier (UUID) of the mobile device, used for device-based authentication and security tracking.","None explicitly defined in DTO"
"DeviceLinkHistroy","device_name","string","NOT NULL","The human-readable name of the device, such as 'John's iPhone' or 'Samsung Galaxy', used for device identification in user interfaces.","None explicitly defined in DTO"
"DeviceLinkHistroy","device_os_version","string","NOT NULL","The operating system version installed on the device, such as 'iOS 15.0' or 'Android 12', used for compatibility checking.","None explicitly defined in DTO"
"DeviceLinkHistroy","linked_at","time.Time","NOT NULL","Timestamp indicating when this device was linked to the user's account, marking the beginning of the device linkage relationship.","None explicitly defined in DTO"
"DeviceLinkHistroy","unlinked_at","time.Time","NOT NULL","Timestamp indicating when this device was unlinked from the user's account, marking the end of the device linkage relationship.","None explicitly defined in DTO"
"DeviceVersionControl","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each DeviceVersionControl record.","None explicitly defined in DTO"
"DeviceVersionControl","latest_version","string","NOT NULL","The latest version number of the mobile application available for this platform, used for version checking and update notifications.","None explicitly defined in DTO"
"DeviceVersionControl","platform","string","NOT NULL","The mobile platform type, such as 'ANDROID' or 'IOS', determining which platform this version control applies to.","None explicitly defined in DTO"
"DeviceVersionControl","created_by","string","NOT NULL","The identifier of the user or system that created this version control record, used for audit and accountability purposes.","None explicitly defined in DTO"
"DeviceVersionControl","created_at","time.Time","nullable","Timestamp when this version control record was initially created in the system.","None explicitly defined in DTO"
"DeviceVersionControl","updated_by","string","NOT NULL","The identifier of the user or system that last modified this version control record, used for audit and accountability purposes.","None explicitly defined in DTO"
"DeviceVersionControl","updated_at","time.Time","nullable","Timestamp indicating the most recent modification to this version control record.","None explicitly defined in DTO"
"DeviceVersionControl","force_update","bool","NOT NULL","Boolean flag indicating whether users are required to update to this version, forcing mandatory app updates for security or compatibility reasons.","None explicitly defined in DTO"
"DeviceVersionControl","release_notes","string","NOT NULL","A textual description of the changes, features, and fixes included in this version, displayed to users when updating the application.","None explicitly defined in DTO"
"DeviceVersionControl","enabled","bool","NOT NULL","Boolean flag indicating whether this version control record is currently enabled and active in the system.","None explicitly defined in DTO"
"DeviceVersionControl","last_modified_at","time.Time","nullable","Timestamp indicating the most recent modification to this version control record.","None explicitly defined in DTO"
"Donation","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Donation record.","None explicitly defined in DTO"
"Donation","donation_code","string","NOT NULL","A unique code identifier for this donation campaign, used for tracking and referencing specific donation initiatives.","None explicitly defined in DTO"
"Donation","company_id","bson.ObjectID","NOT NULL, FK to DonationCompany.id","Foreign key reference to the DonationCompany record organizing this donation campaign, establishing the relationship between companies and their donation initiatives.","None explicitly defined in DTO"
"Donation","category_id","bson.ObjectID","NOT NULL, FK to DonationCategory.id","Foreign key reference to the DonationCategory record classifying this donation, such as 'Education', 'Healthcare', or 'Disaster Relief'.","None explicitly defined in DTO"
"Donation","title","string","NOT NULL","The title or name of the donation campaign, providing a concise summary of the fundraising initiative displayed to users.","None explicitly defined in DTO"
"Donation","is_featured","bool","NOT NULL","Boolean flag indicating whether this donation campaign is featured and prominently displayed in the application interface.","None explicitly defined in DTO"
"Donation","target","int32","NOT NULL","The target fundraising amount for this donation campaign in the smallest currency unit, representing the goal to be achieved.","None explicitly defined in DTO"
"Donation","current_amount","int32","NOT NULL","The current amount raised for this donation campaign in the smallest currency unit, tracking progress toward the target goal.","None explicitly defined in DTO"
"Donation","donation_description","string","NOT NULL","A detailed description of the donation campaign, explaining its purpose, beneficiaries, and impact, providing comprehensive information to potential donors.","None explicitly defined in DTO"
"Donation","donation_images","[]types.DonationImage","NOT NULL","An array of donation image objects, each containing an image URL and creation timestamp, used for visual presentation of the campaign.","None explicitly defined in DTO"
"Donation","cover_image","string","nullable","The file path or URL reference to the cover image for this donation campaign, used as the primary visual representation in listings and detail pages.","None explicitly defined in DTO"
"Donation","end_date","time.Time","NOT NULL","The date and time when this donation campaign ends, after which no further donations will be accepted.","None explicitly defined in DTO"
"Donation","start_date","time.Time","NOT NULL","The date and time when this donation campaign starts, marking when donations begin to be accepted.","None explicitly defined in DTO"
"Donation","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this donation record has been marked for deletion.","None explicitly defined in DTO"
"Donation","created_at","time.Time","NOT NULL","Timestamp when this donation record was initially created in the system.","None explicitly defined in DTO"
"Donation","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this donation record.","None explicitly defined in DTO"
"Donation","enabled","bool","NOT NULL","Boolean flag indicating whether this donation campaign is currently enabled and visible to users in the application interface.","None explicitly defined in DTO"
"DonationCategory","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each DonationCategory record.","None explicitly defined in DTO"
"DonationCategory","category_name","string","NOT NULL","The human-readable name of the donation category, such as 'Education', 'Healthcare', 'Disaster Relief', or 'Environmental', used for organizing donation campaigns.","None explicitly defined in DTO"
"DonationCategory","donation_icon","string","NOT NULL","The file path or identifier for the icon image associated with this donation category, used for visual identification in the user interface.","None explicitly defined in DTO"
"DonationCategory","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this donation category record has been marked for deletion.","None explicitly defined in DTO"
"DonationCategory","created_at","time.Time","NOT NULL","Timestamp when this donation category record was initially created in the system.","None explicitly defined in DTO"
"DonationCategory","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this donation category record.","None explicitly defined in DTO"
"DonationCategory","enabled","bool","NOT NULL","Boolean flag indicating whether this donation category is currently enabled and available for use in the application.","None explicitly defined in DTO"
"DonationCompany","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each DonationCompany record.","None explicitly defined in DTO"
"DonationCompany","company_name","string","NOT NULL","The full legal name of the donation company or organization, used for identification and display purposes.","None explicitly defined in DTO"
"DonationCompany","company_logo","string","NOT NULL","The file path or URL reference to the company's logo image, used for visual branding in the application interface.","None explicitly defined in DTO"
"DonationCompany","account_number","string","NOT NULL","The bank account number where donations for this company's campaigns will be deposited, used for financial transaction processing.","None explicitly defined in DTO"
"DonationCompany","account_holder_name","string","NOT NULL","The name of the account holder for the donation company's bank account, ensuring proper account ownership verification.","None explicitly defined in DTO"
"DonationCompany","address","string","NOT NULL","The physical address of the donation company's headquarters or main office, used for contact and verification purposes.","None explicitly defined in DTO"
"DonationCompany","phone_number","string","NOT NULL","The primary contact phone number for the donation company, used for communication and verification purposes.","None explicitly defined in DTO"
"DonationCompany","email","string","NOT NULL","The primary contact email address for the donation company, used for communication and account recovery.","None explicitly defined in DTO"
"DonationCompany","enabled","bool","NOT NULL","Boolean flag indicating whether this donation company is currently enabled and active in the system.","None explicitly defined in DTO"
"DonationCompany","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this donation company record has been marked for deletion.","None explicitly defined in DTO"
"DonationCompany","created_at","time.Time","NOT NULL","Timestamp when this donation company record was initially created in the system.","None explicitly defined in DTO"
"DonationCompany","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this donation company record.","None explicitly defined in DTO"
"Event","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Event record.","None explicitly defined in DTO"
"Event","event_code","string","NOT NULL","A unique code identifier for this event, used for tracking and referencing specific event instances.","None explicitly defined in DTO"
"Event","event_name","string","NOT NULL","The full name or title of the event, providing a concise summary of the event displayed to users.","None explicitly defined in DTO"
"Event","event_city","string","NOT NULL","The city where this event is taking place, providing location context for event attendees.","None explicitly defined in DTO"
"Event","account_number","string","NOT NULL","The bank account number associated with this event for ticket sales and payment processing.","None explicitly defined in DTO"
"Event","event_venue","string","NOT NULL","The specific venue or location name where the event is being held, such as a stadium, conference center, or theater name.","None explicitly defined in DTO"
"Event","refund_policy","[]string","NOT NULL","An array of strings describing the refund policy for this event, outlining terms and conditions for ticket refunds.","None explicitly defined in DTO"
"Event","mics_info","[]string","NOT NULL","An array of strings containing miscellaneous information about the event, such as special instructions, requirements, or additional details.","None explicitly defined in DTO"
"Event","restriction","types.Restriction","NOT NULL","A structure containing restriction information for the event, including restriction type and description, used for access control and eligibility verification.","None explicitly defined in DTO"
"Event","ticket","[]types.Ticket","NOT NULL","An array of ticket structures, each containing ticket name, category, type, price, and number of tickets available, defining the ticket options for this event.","None explicitly defined in DTO"
"Event","status","constants.EventStatus","NOT NULL","An enumeration indicating the current status of the event, such as UPCOMING, ONGOING, COMPLETED, or CANCELLED, determining event visibility and ticket availability.","None explicitly defined in DTO"
"Event","event_information","types.EventInformation","NOT NULL","A structure containing comprehensive event information including start date, due date, description, cover image, and video link, providing detailed event details to users.","None explicitly defined in DTO"
"Event","ticket_statistics","types.TicketStatistics","NOT NULL","A structure containing ticket sales statistics including category, revenue, and number of sold tickets, used for reporting and analytics.","None explicitly defined in DTO"
"Event","ticket_information","types.TicketInformation","NOT NULL","A structure containing overall ticket information including total number of tickets, available tickets, and unsold tickets, providing ticket availability overview.","None explicitly defined in DTO"
"Event","merchant_information","types.MerchantInformation","NOT NULL","A structure containing merchant details including merchant ID, name, phone number, and email, identifying the event organizer or merchant.","None explicitly defined in DTO"
"Event","enabled","bool","NOT NULL","Boolean flag indicating whether this event is currently enabled and visible to users in the application interface.","None explicitly defined in DTO"
"Event","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this event record has been marked for deletion.","None explicitly defined in DTO"
"Event","has_restriction","bool","NOT NULL","Boolean flag indicating whether this event has any restrictions applied, such as age restrictions or access limitations.","None explicitly defined in DTO"
"Event","created_at","time.Time","NOT NULL","Timestamp when this event record was initially created in the system.","None explicitly defined in DTO"
"Event","deleted_at","time.Time","NOT NULL","Timestamp indicating when this event record was soft-deleted, providing an audit trail for data lifecycle management.","None explicitly defined in DTO"
"Event","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this event record.","None explicitly defined in DTO"
"Feedback","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Feedback record.","None explicitly defined in DTO"
"Feedback","user_id","string","NOT NULL, FK to User.id","Foreign key reference to the User record who submitted this feedback, establishing the relationship between users and their feedback submissions.","None explicitly defined in DTO"
"Feedback","responses","map[string]types.Response","NOT NULL","A map structure where keys are question identifiers and values are Response objects containing question, answer, type, and options, storing all feedback responses from the user.","None explicitly defined in DTO"
"Feedback","created_at","time.Time","NOT NULL","Timestamp when this feedback record was initially created in the system.","None explicitly defined in DTO"
"Feedback","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this feedback record.","None explicitly defined in DTO"
"HQ","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each HQ record, representing headquarters-level system configuration.","None explicitly defined in DTO"
"HQ","unique_id","string","NOT NULL","A unique identifier for this HQ configuration record, used for system-wide configuration management.","None explicitly defined in DTO"
"HQ","latest_ios_version","string","NOT NULL","The latest version number of the iOS mobile application, used for version checking and update notifications for iOS users.","None explicitly defined in DTO"
"HQ","latest_android_version","string","NOT NULL","The latest version number of the Android mobile application, used for version checking and update notifications for Android users.","None explicitly defined in DTO"
"HQ","archive_expiry","uint32","NOT NULL","The number of days after which user accounts will be automatically archived, defining the archive expiration policy in days.","None explicitly defined in DTO"
"HQ","block_time","uint32","NOT NULL","The duration in minutes for which user accounts will be blocked after exceeding failed login attempts, implementing account lockout policy.","None explicitly defined in DTO"
"HQ","block_time_status","string","NOT NULL","The current status of the block time configuration, such as ACTIVE or INACTIVE, controlling whether the block time policy is enforced.","None explicitly defined in DTO"
"HQ","archive_time","uint32","NOT NULL","The duration in days after which inactive accounts will be archived, defining the archive time policy.","None explicitly defined in DTO"
"HQ","archive_time_status","string","NOT NULL","The current status of the archive time configuration, such as ACTIVE or INACTIVE, controlling whether the archive time policy is enforced.","None explicitly defined in DTO"
"HQ","password_expiry","uint32","NOT NULL","The number of days after which user passwords will expire and require renewal, defining the password expiration policy.","None explicitly defined in DTO"
"HQ","created_at_password_expiry","time.Time","NOT NULL","Timestamp when the password expiry configuration was initially set, used for tracking policy changes.","None explicitly defined in DTO"
"HQ","updated_at_password_expiry","time.Time","NOT NULL","Timestamp indicating the most recent modification to the password expiry configuration.","None explicitly defined in DTO"
"HQ","created_at_block","time.Time","NOT NULL","Timestamp when the block time configuration was initially set, used for tracking policy changes.","None explicitly defined in DTO"
"HQ","updated_at_block","time.Time","NOT NULL","Timestamp indicating the most recent modification to the block time configuration.","None explicitly defined in DTO"
"HQ","created_at_archive","time.Time","NOT NULL","Timestamp when the archive time configuration was initially set, used for tracking policy changes.","None explicitly defined in DTO"
"HQ","updated_at_archive","time.Time","NOT NULL","Timestamp indicating the most recent modification to the archive time configuration.","None explicitly defined in DTO"
"HQ","total_cap","uint64","NOT NULL","The total transfer cap limit for the system, representing the maximum cumulative transfer amount allowed across all users, used for system-wide financial controls.","None explicitly defined in DTO"
"HQ","created_at_total_cap","time.Time","NOT NULL","Timestamp when the total cap configuration was initially set, used for tracking policy changes.","None explicitly defined in DTO"
"HQ","updated_at_total_cap","time.Time","NOT NULL","Timestamp indicating the most recent modification to the total cap configuration.","None explicitly defined in DTO"
"HQ","enabled","bool","NOT NULL","Boolean flag indicating whether this HQ configuration is currently enabled and active in the system.","None explicitly defined in DTO"
"HQ","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this HQ record has been marked for deletion.","None explicitly defined in DTO"
"HQ","created_at","time.Time","NOT NULL","Timestamp when this HQ record was initially created in the system.","None explicitly defined in DTO"
"HQ","last_modified","time.Time","NOT NULL","Timestamp indicating the most recent modification to this HQ record.","None explicitly defined in DTO"
"Icon","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each Icon record.","None explicitly defined in DTO"
"Icon","icon","string","NOT NULL","The file path or identifier for the icon image file, used for visual representation in various parts of the application interface.","None explicitly defined in DTO"
"Icon","enabled","bool","NOT NULL","Boolean flag indicating whether this icon is currently enabled and available for use in the application.","None explicitly defined in DTO"
"Icon","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this icon record has been marked for deletion.","None explicitly defined in DTO"
"Icon","created_at","time.Time","NOT NULL","Timestamp when this icon record was initially created in the system.","None explicitly defined in DTO"
"Icon","last_modified","time.Time","NOT NULL","Timestamp indicating the most recent modification to this icon record.","None explicitly defined in DTO"
"LinkedAccount","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each LinkedAccount record.","None explicitly defined in DTO"
"LinkedAccount","user_id","bson.ObjectID","NOT NULL, FK to User.id","Foreign key reference to the User record who owns this linked account, establishing the relationship between users and their account linkages.","None explicitly defined in DTO"
"LinkedAccount","customer_number","string","NOT NULL","The Customer Information File (CIF) number associated with this linked account, serving as a unique identifier for the customer in the banking system.","None explicitly defined in DTO"
"LinkedAccount","account_number","string","NOT NULL","The unique bank account number associated with this linked account, used for transaction processing and account identification.","None explicitly defined in DTO"
"LinkedAccount","account_holder_name","string","NOT NULL","The full legal name of the account holder as registered in the banking system, ensuring proper account ownership verification.","None explicitly defined in DTO"
"LinkedAccount","account_type","string","NOT NULL","The classification of the bank account type, such as savings, checking, or current account, determining account features and restrictions.","None explicitly defined in DTO"
"LinkedAccount","branch_code","string","NOT NULL","The unique code identifying the bank branch where this account was originally opened or linked, used for branch-level operations and reporting.","None explicitly defined in DTO"
"LinkedAccount","linked_status","bool","NOT NULL","Boolean flag indicating the current linkage status of this account, showing whether it is currently linked to the user's profile.","None explicitly defined in DTO"
"LinkedAccount","last_linked_status","bool","NOT NULL","The previous linkage status of this account, providing historical context for account state transitions.","None explicitly defined in DTO"
"LinkedAccount","linked_at","time.Time","NOT NULL","Timestamp indicating when this account was linked to the user's profile in the application.","None explicitly defined in DTO"
"LinkedAccount","linker_branch","string","NOT NULL","The branch code or identifier of the branch that performed the account linking operation, used for audit and operational tracking.","None explicitly defined in DTO"
"LinkedAccount","registration_type","constants.RegistrationType","NOT NULL","An enumeration indicating the method by which the account was registered or linked, such as self-registration or branch-assisted registration.","None explicitly defined in DTO"
"LinkedAccount","is_account_active","bool","NOT NULL","Boolean flag indicating whether the underlying bank account is currently active and operational in the core banking system.","None explicitly defined in DTO"
"LinkedAccount","and_or_status","bool","NOT NULL","Boolean flag indicating the logical relationship (AND/OR) for multi-account scenarios, determining how multiple accounts interact in transaction processing.","None explicitly defined in DTO"
"LinkedAccount","account_branch_code","string","NOT NULL","The branch code associated with the account itself, which may differ from the linking branch code in certain scenarios.","None explicitly defined in DTO"
"LinkedAccount","currency","string","NOT NULL","The three-letter ISO 4217 currency code for this account, such as ETB for Ethiopian Birr, determining the account's monetary denomination.","None explicitly defined in DTO"
"LinkedAccount","is_main","bool","NOT NULL, default: false","Boolean flag indicating whether this is the primary or main account for the user, with the first linked account typically set to true by default.","None explicitly defined in DTO"
"LinkedAccount","maker_and_checker_linkers_maker","string","NOT NULL","The user identifier of the maker who initiated the account linking process, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"LinkedAccount","maker_and_checker_linkers_checker","string","NOT NULL","The user identifier of the checker who approved the account linking process, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"LinkedAccount","maker_and_checker_unlinkers_maker","string","nullable","The user identifier of the maker who initiated the account unlinking process, if applicable, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"LinkedAccount","maker_and_checker_unlinkers_checker","string","nullable","The user identifier of the checker who approved the account unlinking process, if applicable, part of the maker-checker approval workflow.","None explicitly defined in DTO"
"LinkedAccount","created_at","time.Time","NOT NULL","Timestamp when this linked account record was created, automatically set upon account linking.","None explicitly defined in DTO"
"LinkedAccount","updated_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this linked account record, automatically updated on each change.","None explicitly defined in DTO"
"MiniApp","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each MiniApp record.","None explicitly defined in DTO"
"MiniApp","app_name","string","NOT NULL","The name of the mini application, providing a concise identifier for the mini app displayed to users.","None explicitly defined in DTO"
"MiniApp","app_icon","string","NOT NULL","The file path or URL reference to the mini app's icon image, used for visual identification in the application interface.","None explicitly defined in DTO"
"MiniApp","banner_image","string","NOT NULL","The file path or URL reference to the banner image for the mini app, used for promotional display in the application interface.","None explicitly defined in DTO"
"MiniApp","commison_gl_account","string","nullable","The General Ledger account number used for commission tracking and accounting for this mini app's transactions.","None explicitly defined in DTO"
"MiniApp","app_type","constants.AppType","NOT NULL","An enumeration indicating the type of mini application, determining its functionality and integration method.","None explicitly defined in DTO"
"MiniApp","merchant_id","string","NOT NULL","The identifier of the merchant associated with this mini app, linking the app to its merchant organization.","None explicitly defined in DTO"
"MiniApp","product_code","[]types.ProductCode","NOT NULL","An array of product code structures, each containing branch type, product code, VAT code, and service fee code, defining the product codes used for this mini app's transactions.","None explicitly defined in DTO"
"MiniApp","credential","types.CredentialInformation","nullable","A structure containing credential information for the mini app, including environment, merchant app ID, fabric app ID, short code, app secret, and keys, used for API authentication and integration.","None explicitly defined in DTO"
"MiniApp","url","string","nullable","The URL or endpoint for accessing the mini app, used for navigation and integration purposes.","None explicitly defined in DTO"
"MiniApp","app_view_type","constants.AppViewType","NOT NULL","An enumeration indicating how the mini app should be displayed in the application interface, such as embedded or external.","None explicitly defined in DTO"
"MiniApp","stage","constants.Stage","NOT NULL","An enumeration indicating the deployment stage of the mini app, such as DEVELOPMENT, STAGING, or PRODUCTION.","None explicitly defined in DTO"
"MiniApp","is_event_mini_app","bool","NOT NULL","Boolean flag indicating whether this mini app is specifically designed for event management and ticketing functionality.","None explicitly defined in DTO"
"MiniApp","is_three_click","bool","NOT NULL","Boolean flag indicating whether this mini app requires a three-click access pattern, implementing a specific user interaction flow.","None explicitly defined in DTO"
"MiniApp","enabled","bool","NOT NULL","Boolean flag indicating whether this mini app is currently enabled and visible to users in the application interface.","None explicitly defined in DTO"
"MiniApp","is_deleted","bool","NOT NULL","Soft delete flag indicating whether this mini app record has been marked for deletion.","None explicitly defined in DTO"
"MiniApp","created_at","time.Time","NOT NULL","Timestamp when this mini app record was initially created in the system.","None explicitly defined in DTO"
"MiniApp","last_modified_at","time.Time","NOT NULL","Timestamp indicating the most recent modification to this mini app record.","None explicitly defined in DTO"
"MiniApp","deleted_at","time.Time","NOT NULL","Timestamp indicating when this mini app record was soft-deleted, providing an audit trail for data lifecycle management.","None explicitly defined in DTO"
"MiniAppMerchant","id","bson.ObjectID","PK, auto-generated","The primary key serving as a unique, auto-generated MongoDB ObjectID identifier for each MiniAppMerchant record.","None explicitly defined in DTO"
"MiniAppMerchant","merchant_code","string","NOT NULL","A unique code identifier for the mini app merchant, used for tracking and referencing specific merchant organizations.","None explicitly defined in DTO"
"MiniAppMerchant","merchant_name","string","NOT NULL","The full legal name of the mini app merchant organization, used for identification and display purposes.","None explicitly defined in DTO"
"MiniAppMerchant","merchant_type","string","NOT NULL","The type or category of the merchant, such as 'Retail', 'Service', or 'Event Organizer', classifying the merchant's business nature.","None explicitly defined in DTO"
